position;artist;song;year
1;Macklemore & Ryan Lewis Featuring Ray Dalton;Can’t Hold Us;2013
2;Baauer;Harlem Shake;2013
3;P!nk Featuring Nate Ruess;Just Give Me A Reason;2013
4;Robin Thicke Featuring T.I. + Pharrell;Blurred Lines;2013
5;Lorde;Royals;2013
6;Robin Thicke Featuring T.I. + Pharrell;Blurred Lines;2013
7;Katy Perry;Roar;2013
8;Justin Timberlake;Mirrors;2013
9;Daft Punk Featuring Pharrell Williams;Get Lucky;2013
10;Miley Cyrus;We Can’t Stop;2013
11;Miley Cyrus;Wrecking Ball;2013
12;will.i.am & Britney Spears;Scream & Shout;2013
13;Justin Timberlake Featuring Jay Z;Suit & Tie;2013
14;Rihanna Featuring Mikky Ekko;Stay;2013
15;Eminem;Berzerk;2013
16;Eminem Featuring Rihanna;The Monster;2013
17;Drake Featuring Majid Jordan;Hold On, We’re Going Home;2013
18;Florida Georgia Line Featuring Nelly;Cruise;2013
19;Bruno Mars;Treasure;2013
20;Avicii;Wake Me Up!;2013
21;Jay Z Featuring Justin Timberlake;Holy Grail;2013
22;Drake;Started From The Bottom;2013
23;Anna Kendrick;Cups (Pitch Perfect’s When I’m Gone);2013
24;Selena Gomez;Come & Get It;2013
25;Lady Gaga;Applause;2013
26;One Direction;Story Of My Life;2013
27;Imagine Dragons;Demons;2013
28;Pitbull Featuring Christina Aguilera;Feel This Moment;2013
29;Zedd Featuring Foxes;Clarity;2013
30;Ylvis;The Fox;2013
31;Lil Wayne Featuring Drake & Future;Love Me;2013
32;Icona Pop Featuring Charli XCX;I Love It;2013
33;Capital Cities;Safe And Sound;2013
34;OneRepublic;Counting Stars;2013
35;Demi Lovato;Heart Attack;2013
36;Ariana Grande Featuring Mac Miller;The Way;2013
37;Maroon 5;Love Somebody;2013
38;Lana Del Rey & Cedric Gervais;Summertime Sadness;2013
39;Macklemore & Ryan Lewis Feat Mary Lambert;Same Love;2013
40;Mike WiLL Made-It Featuring Miley Cyrus;Wiz Khalifa & Juicy J;2013
41;PSY;Gentleman;2013
42;Passenger;Let Her Go;2013
43;Blake Shelton Feat Pistol Annies & Friends;Boys ‘Round Here;2013
44;Fall Out Boy; Light Em Up;2013
45;2 Chainz & Wiz Khalifa;We Own It (Fast & Furious);2013
46;Luke Bryan;That’s My Kind Of Night;2013
47;Eminem;Survival;2013
48;will.i.am Featuring Justin Bieber;#thatPOWER;2013
49;Calvin Harris Featuring Ellie Goulding;I Need Your Love;2013
50;Mariah Carey Featuring Miguel;#Beautiful;2013
51;Eminem;Rap God;2013
52;Darius Rucker;Wagon Wheel;2013
53;Luke Bryan;Crash My Party;2013
54;Jason Derulo;The Other Side;2013
55;One Direction;Best Song Ever;2013
56;Rihanna;Pour It Up;2013
57;fun.;Carry On;2013
58;Miranda Lambert;Mama’s Broken Heart;2013
59;J. Cole Featuring Miguel;Power Trip;2013
60;Taylor Swift;22;2013
61;Rocko Featuring Future & Rick Ross;U.O.E.N.O.;2013
62;Drake Featuring 2 Chainz & Big Sean;All Me;2013
63;Pitbull Featuring Ke$ha;Timber;2013
64;Tim McGraw With Taylor Swift;Highway Don’t Care;2013
65;Hunter Hayes;I Want Crazy;2013
66;YG Featuring Jeezy & Rich Homie Quan;My Hitta;2013
67;Chris Brown Featuring Nicki Minaj;Love More;2013
68;Paramore;Still Into You;2013
69;Blake Shelton;Sure Be Cool If You Did;2013
70;Olly Murs Featuring Flo Rida;Troublemaker;2013
71;Phillip Phillips;Gone, Gone, Gone;2013
72;Thomas Rhett;It Goes Like This;2013
73;Robin Thicke Featuring Kendrick Lamar;Give It 2 U;2013
74;Katy Perry;Unconditionally;2013
75;Emeli Sande;Next To Me;2013
76;Ke$ha;C’Mon;2013
77;Wale Featuring Tiara Thomas;Bad;2013
78;Ciara;Body Party;2013
79;J. Cole Featuring TLC;Crooked Smile;2013
80;Randy Houser;Runnin’ Outta Moonlight;2013
81;Wale Featuring Tiara Thomas Or Rihanna;Bad;2013
82;Bruno Mars;Gorilla;2013
83;Florida Georgia Line;Get Your Shine On;2013
84;Lady Antebellum;Downtown;2013
85;Justin Timberlake;Take Back The Night;2013
86;Avril Lavigne;Here’s To Never Growing Up;2013
87;Brett Eldredge;Don’t Ya;2013
88;Florida Georgia Line;Round Here;2013
89;Selena Gomez;Slow Down;2013
90;Sage The Gemini Featuring IamSu;Gas Pedal;2013
91;Lady Gaga;Venus;2013
92;Kendrick Lamar;Bitch, Don’t Kill My Vibe;2013
93;Ace Hood Featuring Future & Rick Ross;Bugatti;2013
94;The Neighbourhood;Sweater Weather;2013
95;Tyler Farr;Redneck Crazy;2013
96;Krewella;Alive;2013
97;Sara Bareilles;Brave;2013
98;The FiNATTiCZ;Don’t Drop That Thun Thun!;2013
99;Justin Timberlake;TKO;2013
100;Big Sean Featuring Lil Wayne & Jhene Aiko;Beware;2013